SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
IIFCL,N2,1100.0,1108.0,1095.0,1095.5,1095.5,1090.0,861,20-MAR-2020
IIFCL,N4,1334.0,1334.0,1289.99,1289.99,1289.99,1270.0,24,20-MAR-2020
IIFCL,N2,1085.0,1090.0,1085.0,1090.0,1090.0,1148.99,50,19-MAR-2020
IIFCL,N4,1277.0,1277.0,1258.0,1270.0,1270.0,1277.7,1571,19-MAR-2020
IIFCL,N1,1141.0,1141.0,1141.0,1141.0,1141.0,1148.65,15,18-MAR-2020
IIFCL,N2,1199.99,1199.99,1148.99,1148.99,1148.99,1100.0,330,18-MAR-2020
IIFCL,N4,1283.0,1299.0,1274.5,1277.7,1277.0,1275.0,206,18-MAR-2020
IIFCL,N1,1148.65,1148.65,1148.65,1148.65,1148.65,1140.6,10,17-MAR-2020
IIFCL,N2,1105.0,1105.0,1100.0,1100.0,1100.0,1116.0,500,17-MAR-2020
IIFCL,N3,1274.0,1274.0,1274.0,1274.0,1274.0,1264.0,89,17-MAR-2020
IIFCL,N4,1300.01,1300.01,1275.0,1275.0,1275.0,1310.0,1000,17-MAR-2020
