SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
NHAI,N1,1085.0,1086.0,1079.0,1083.55,1083.5,1083.0,6013,20-MAR-2020
NHAI,N2,1180.01,1189.9,1180.0,1189.0,1189.0,1180.0,6708,20-MAR-2020
NHAI,N4,1080.0,1080.0,1080.0,1080.0,1080.0,1080.01,996,20-MAR-2020
NHAI,N6,1184.0,1194.0,1184.0,1189.81,1188.0,1189.51,6443,20-MAR-2020
NHAI,N8,1060.0,1069.99,1050.0,1060.71,1069.99,1055.09,1382,20-MAR-2020
NHAI,,1120.2,1129.99,1118.0,1127.5,1127.5,1122.64,5652,20-MAR-2020
NHAI,NC,1074.01,1075.55,1074.01,1075.06,1075.0,1074.03,778,20-MAR-2020
NHAI,NE,1166.0,1170.0,1163.0,1169.89,1170.0,1165.1,3883,20-MAR-2020
NHAI,N1,1074.5,1083.99,1073.14,1083.0,1083.0,1083.75,9346,19-MAR-2020
NHAI,N2,1176.0,1185.0,1173.0,1180.0,1180.02,1176.45,9681,19-MAR-2020
NHAI,N4,1080.0,1099.75,1069.1,1080.01,1080.01,1080.0,2520,19-MAR-2020
NHAI,N5,1200.0,1200.0,1200.0,1200.0,1200.0,1280.0,1,19-MAR-2020
NHAI,N6,1183.0,1190.0,1176.05,1189.51,1190.0,1184.36,6482,19-MAR-2020
NHAI,N8,1060.0,1060.0,1051.05,1055.09,1055.0,1059.27,2435,19-MAR-2020
NHAI,,1125.0,1133.26,1110.0,1122.64,1124.95,1131.8,33334,19-MAR-2020
NHAI,NC,1074.04,1074.04,1074.01,1074.03,1074.01,1113.99,451,19-MAR-2020
NHAI,NE,1166.2,1172.0,1153.11,1165.1,1166.0,1169.85,8560,19-MAR-2020
NHAI,N1,1087.0,1087.0,1078.0,1083.75,1083.75,1084.08,33271,18-MAR-2020
NHAI,N2,1194.99,1195.0,1168.0,1176.45,1179.3,1184.59,25267,18-MAR-2020
NHAI,N4,1071.26,1080.0,1071.26,1080.0,1080.0,1086.0,200,18-MAR-2020
NHAI,N6,1195.0,1207.89,1183.0,1184.36,1185.0,1194.97,6447,18-MAR-2020
NHAI,N8,1070.0,1078.0,1052.01,1059.27,1059.0,1064.56,1394,18-MAR-2020
NHAI,,1145.0,1145.0,1130.1,1131.8,1137.9,1140.71,8198,18-MAR-2020
NHAI,NE,1175.0,1179.7,1166.5,1169.85,1169.85,1172.22,3259,18-MAR-2020
NHAI,N1,1081.0,1090.0,1080.0,1084.08,1084.0,1080.02,31527,17-MAR-2020
NHAI,N2,1200.01,1210.0,1178.15,1184.59,1179.0,1200.0,31185,17-MAR-2020
NHAI,N4,1090.01,1092.51,1075.1,1086.0,1086.0,1127.99,700,17-MAR-2020
NHAI,N5,1340.0,1340.0,1280.0,1280.0,1280.0,1196.0,11,17-MAR-2020
NHAI,N6,1201.0,1204.0,1191.1,1194.97,1194.0,1199.7,25125,17-MAR-2020
NHAI,N8,1099.99,1099.99,1026.0,1064.56,1064.1,1141.32,948,17-MAR-2020
NHAI,N9,1200.0,1200.0,1200.0,1200.0,1200.0,1269.99,98,17-MAR-2020
NHAI,,1178.0,1178.0,1130.01,1140.71,1142.0,1207.11,16656,17-MAR-2020
NHAI,NE,1180.0,1180.01,1166.23,1172.22,1168.01,1179.18,19000,17-MAR-2020
