SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
SREIBNPNCD,N8,940.0,940.0,940.0,940.0,940.0,921.0,5,20-MAR-2020
SREIBNPNCD,NJ,769.3,769.3,769.3,769.3,769.3,785.0,8,20-MAR-2020
SREIBNPNCD,NO,750.0,750.0,702.0,702.0,702.0,752.0,117,20-MAR-2020
SREIBNPNCD,NQ,871.0,871.0,871.0,871.0,871.0,726.05,25,20-MAR-2020
SREIBNPNCD,NU,650.0,650.0,650.0,650.0,650.0,545.29,14,20-MAR-2020
SREIBNPNCD,NX,738.0,738.0,738.0,738.0,738.0,800.0,50,20-MAR-2020
SREIBNPNCD,NZ,1140.0,1140.0,1140.0,1140.0,1140.0,1150.0,10,20-MAR-2020
SREIBNPNCD,Y1,775.0,775.0,775.0,775.0,775.0,808.5,10,20-MAR-2020
SREIBNPNCD,N8,1000.01,1000.01,921.0,921.0,921.0,1000.0,97,19-MAR-2020
SREIBNPNCD,NJ,785.0,785.0,785.0,785.0,785.0,785.0,50,19-MAR-2020
SREIBNPNCD,NL,711.0,784.0,711.0,784.0,784.0,800.0,7,19-MAR-2020
SREIBNPNCD,NN,865.1,865.1,865.1,865.1,865.1,1059.9,1,19-MAR-2020
SREIBNPNCD,NO,752.0,752.0,752.0,752.0,752.0,775.0,47,19-MAR-2020
SREIBNPNCD,NQ,726.05,726.05,726.05,726.05,726.05,900.0,1,19-MAR-2020
SREIBNPNCD,NR,760.0,760.0,760.0,760.0,760.0,760.0,20,19-MAR-2020
SREIBNPNCD,NX,800.0,800.0,800.0,800.0,800.0,810.0,12,19-MAR-2020
SREIBNPNCD,NY,750.0,750.0,750.0,750.0,750.0,750.01,25,19-MAR-2020
SREIBNPNCD,Y2,703.49,703.49,703.49,703.49,703.49,703.5,45,19-MAR-2020
SREIBNPNCD,Y5,800.1,800.1,800.1,800.1,800.1,800.1,40,19-MAR-2020
SREIBNPNCD,N7,971.3,971.3,971.3,971.3,971.3,971.3,44,18-MAR-2020
SREIBNPNCD,NJ,785.0,785.0,785.0,785.0,785.0,847.72,100,18-MAR-2020
SREIBNPNCD,NL,877.9,878.0,732.1,800.0,800.0,857.81,568,18-MAR-2020
SREIBNPNCD,NU,570.0,600.0,481.0,545.29,550.0,600.97,475,18-MAR-2020
SREIBNPNCD,NX,851.0,851.0,800.0,810.0,810.0,855.0,164,18-MAR-2020
SREIBNPNCD,NY,750.01,750.01,750.01,750.01,750.01,720.14,10,18-MAR-2020
SREIBNPNCD,Y7,690.0,690.0,690.0,690.0,690.0,672.0,10,18-MAR-2020
SREIBNPNCD,Y8,704.99,704.99,670.0,670.0,670.0,705.0,55,18-MAR-2020
SREIBNPNCD,N7,980.0,980.0,970.6,971.3,971.0,990.0,128,17-MAR-2020
SREIBNPNCD,N8,1000.0,1000.0,1000.0,1000.0,1000.0,1085.0,10,17-MAR-2020
SREIBNPNCD,NJ,825.0,847.72,815.0,847.72,847.72,825.0,101,17-MAR-2020
SREIBNPNCD,NL,857.81,857.81,857.81,857.81,857.81,800.86,1,17-MAR-2020
SREIBNPNCD,NO,800.0,800.0,775.0,775.0,775.0,760.0,140,17-MAR-2020
SREIBNPNCD,NQ,721.0,900.0,721.0,900.0,900.0,900.0,94,17-MAR-2020
SREIBNPNCD,NU,610.0,610.0,599.0,600.97,599.0,586.83,381,17-MAR-2020
SREIBNPNCD,Y1,808.5,808.5,808.5,808.5,808.5,825.0,7,17-MAR-2020
SREIBNPNCD,Y2,721.01,721.01,703.5,703.5,703.5,703.01,110,17-MAR-2020
SREIBNPNCD,Y5,800.1,800.1,800.1,800.1,800.1,994.0,70,17-MAR-2020
SREIBNPNCD,Y7,672.0,672.0,672.0,672.0,672.0,560.0,10,17-MAR-2020
