SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
TATACAPHSG,N2,984.55,1000.0,984.55,995.0,995.0,982.0,865,20-MAR-2020
TATACAPHSG,N4,970.0,970.0,951.0,959.85,951.0,970.0,151,20-MAR-2020
TATACAPHSG,N6,980.0,995.0,960.4,995.0,995.0,980.0,347,20-MAR-2020
TATACAPHSG,N8,1002.0,1002.0,1002.0,1002.0,1002.0,1009.0,100,20-MAR-2020
TATACAPHSG,NB,989.0,990.0,975.0,989.0,989.0,990.0,327,20-MAR-2020
TATACAPHSG,N2,1010.0,1012.2,982.0,982.0,982.0,999.0,295,19-MAR-2020
TATACAPHSG,N4,985.0,985.0,925.3,970.0,970.0,999.99,137,19-MAR-2020
TATACAPHSG,N6,982.0,982.0,980.0,980.0,980.0,981.46,114,19-MAR-2020
TATACAPHSG,N8,1007.0,1009.0,1000.5,1009.0,1009.0,1000.0,618,19-MAR-2020
TATACAPHSG,,995.0,995.0,995.0,995.0,995.0,999.0,1,19-MAR-2020
TATACAPHSG,NB,985.0,990.0,985.0,990.0,990.0,989.0,64,19-MAR-2020
TATACAPHSG,N2,1010.0,1022.5,999.0,999.0,999.0,1004.0,365,18-MAR-2020
TATACAPHSG,N4,985.05,999.99,985.05,999.99,999.99,995.0,215,18-MAR-2020
TATACAPHSG,N6,985.5,985.5,981.46,981.46,981.46,985.5,10,18-MAR-2020
TATACAPHSG,N8,1000.0,1005.0,1000.0,1000.0,1000.0,1012.0,1356,18-MAR-2020
TATACAPHSG,,994.9,999.0,994.9,999.0,999.0,999.0,550,18-MAR-2020
TATACAPHSG,NB,989.0,989.0,989.0,989.0,989.0,989.81,5,18-MAR-2020
TATACAPHSG,N2,1002.0,1004.0,1002.0,1004.0,1004.0,1002.0,161,17-MAR-2020
TATACAPHSG,N4,995.0,995.0,995.0,995.0,995.0,1000.0,51,17-MAR-2020
TATACAPHSG,N6,995.0,995.0,985.5,985.5,985.5,953.0,50,17-MAR-2020
TATACAPHSG,N8,1008.0,1012.0,1008.0,1012.0,1012.0,1008.31,560,17-MAR-2020
TATACAPHSG,,997.5,999.0,993.0,999.0,999.0,981.01,460,17-MAR-2020
TATACAPHSG,NB,990.0,990.0,988.0,989.81,988.0,1000.0,110,17-MAR-2020
